2025-05-19 13:26:49.762 EEST,"krl","postgres",1565471,"127.0.0.1:33058",682b0769.17e31f,1,"idle",2025-05-19 13:26:49 EEST,4/2,0,LOG,00000,"statement: ;",,,,,,,,,"psql","client backend",,0
2025-05-19 13:26:49.762 EEST,"krl","postgres",1565471,"127.0.0.1:33058",682b0769.17e31f,2,"idle",2025-05-19 13:26:49 EEST,4/3,0,LOG,00000,"statement: select 'search_path = ' || current_setting('search_path');",,,,,,,,,"psql","client backend",,0
2025-05-19 13:26:49.763 EEST,"krl","postgres",1565471,"127.0.0.1:33058",682b0769.17e31f,3,"idle",2025-05-19 13:26:49 EEST,4/4,0,LOG,00000,"statement: ;",,,,,,,,,"psql","client backend",,0
2025-05-19 13:26:49.763 EEST,"krl","postgres",1565471,"127.0.0.1:33058",682b0769.17e31f,4,"idle",2025-05-19 13:26:49 EEST,4/5,0,LOG,00000,"statement: select pid, usename,  now() - query_start as query_age, now() - xact_start as xact_age, wait_event_type, wait_event, query::varchar(100) from pg_stat_activity where state != 'idle' and pid != pg_backend_pid() and (datname = current_database() or datname is null) order by now() - query_start desc limit 5;",,,,,,,,,"psql","client backend",,0
2025-05-19 13:26:49.769 EEST,"krl","postgres",1565471,"127.0.0.1:33058",682b0769.17e31f,5,"idle",2025-05-19 13:26:49 EEST,4/6,0,LOG,00000,"statement: ;",,,,,,,,,"psql","client backend",,0
2025-05-19 13:26:49.770 EEST,"krl","postgres",1565471,"127.0.0.1:33058",682b0769.17e31f,6,"idle",2025-05-19 13:26:49 EEST,4/7,0,LOG,00000,"statement: vacuum pgbench_accounts",,,,,,,,,"psql","client backend",,0
2025-05-19 13:27:45.247 EEST,,,105001,,6827154e.19a29,3,,2025-05-16 13:37:02 EEST,,0,LOG,00000,"checkpoint starting: wal",,,,,,,,,"","checkpointer",,0
2025-05-19 13:27:48.361 EEST,"krl","postgres",1565941,"127.0.0.1:37330",682b079e.17e4f5,1,"ALTER TABLE",2025-05-19 13:27:42 EEST,5/24,0,ERROR,42704,"there is no primary key for referenced table ""pgbench_branches""",,,,,,"alter table pgbench_tellers add constraint pgbench_tellers_bid_fkey foreign key (bid) references pgbench_branches",,,"pgbench","client backend",,0
2025-05-19 13:27:48.503 EEST,,,105001,,6827154e.19a29,4,,2025-05-16 13:37:02 EEST,,0,LOG,00000,"checkpoint complete: wrote 73 buffers (0.4%); 0 WAL file(s) added, 1 removed, 32 recycled; write=2.530 s, sync=0.452 s, total=3.279 s; sync files=33, longest=0.330 s, average=0.014 s; distance=542986 kB, estimate=542986 kB; lsn=0/42B83D78, redo lsn=0/234001E8",,,,,,,,,"","checkpointer",,0
2025-05-19 13:28:28.314 EEST,"krl","postgres",1566552,"127.0.0.1:38508",682b07cc.17e758,1,"idle",2025-05-19 13:28:28 EEST,7/2,0,LOG,00000,"statement: select count(*) from pgbench_branches",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.315 EEST,"krl","postgres",1566552,"127.0.0.1:38508",682b07cc.17e758,2,"idle",2025-05-19 13:28:28 EEST,7/3,0,LOG,00000,"statement: select o.n, p.partstrat, pg_catalog.count(i.inhparent) from pg_catalog.pg_class as c join pg_catalog.pg_namespace as n on (n.oid = c.relnamespace) cross join lateral (select pg_catalog.array_position(pg_catalog.current_schemas(true), n.nspname)) as o(n) left join pg_catalog.pg_partitioned_table as p on (p.partrelid = c.oid) left join pg_catalog.pg_inherits as i on (c.oid = i.inhparent) where c.relname = 'pgbench_accounts' and o.n is not null group by 1, 2 order by 1 asc limit 1",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.319 EEST,"krl","postgres",1566552,"127.0.0.1:38508",682b07cc.17e758,3,"idle",2025-05-19 13:28:28 EEST,7/4,0,LOG,00000,"statement: vacuum pgbench_branches",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.320 EEST,"krl","postgres",1566552,"127.0.0.1:38508",682b07cc.17e758,4,"idle",2025-05-19 13:28:28 EEST,7/7,0,LOG,00000,"statement: vacuum pgbench_tellers",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.320 EEST,"krl","postgres",1566552,"127.0.0.1:38508",682b07cc.17e758,5,"idle",2025-05-19 13:28:28 EEST,7/10,0,LOG,00000,"statement: truncate pgbench_history",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.332 EEST,"krl","postgres",1566552,"127.0.0.1:38508",682b07cc.17e758,6,"TRUNCATE TABLE",2025-05-19 13:28:28 EEST,7/0,0,LOG,00000,"duration: 12.035 ms",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.339 EEST,"krl","postgres",1566553,"127.0.0.1:38520",682b07cc.17e759,1,"idle",2025-05-19 13:28:28 EEST,8/2,0,LOG,00000,"statement: BEGIN;",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.340 EEST,"krl","postgres",1566553,"127.0.0.1:38520",682b07cc.17e759,2,"idle in transaction",2025-05-19 13:28:28 EEST,8/2,0,LOG,00000,"statement: UPDATE pgbench_accounts SET abalance = abalance + -1860 WHERE aid = 36839;",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.667 EEST,"krl","postgres",1566553,"127.0.0.1:38520",682b07cc.17e759,3,"UPDATE",2025-05-19 13:28:28 EEST,8/2,790,LOG,00000,"duration: 327.548 ms",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.667 EEST,"krl","postgres",1566553,"127.0.0.1:38520",682b07cc.17e759,4,"idle in transaction",2025-05-19 13:28:28 EEST,8/2,790,LOG,00000,"statement: SELECT abalance FROM pgbench_accounts WHERE aid = 36839;",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.793 EEST,"krl","postgres",1566553,"127.0.0.1:38520",682b07cc.17e759,5,"SELECT",2025-05-19 13:28:28 EEST,8/2,790,LOG,00000,"duration: 125.426 ms",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.793 EEST,"krl","postgres",1566553,"127.0.0.1:38520",682b07cc.17e759,6,"idle in transaction",2025-05-19 13:28:28 EEST,8/2,790,LOG,00000,"statement: UPDATE pgbench_tellers SET tbalance = tbalance + -1860 WHERE tid = 52;",,,,,,,,,"pgbench","client backend",,0
2025-05-19 13:28:28.793 EEST,"krl","postgres",1566553,"127.0.0.1:38520",682b07cc.17e759,7,"idle in transaction",2025-05-19 13:28:28 EEST,8/2,790,LOG,00000,"statement: UPDATE pgbench_branches SET bbalance = bbalance + -1860 WHERE bid = 49;",,,,,,,,,"pgbench","client backend",,0
