2025-05-21 12:57:12.039 EEST,,,3210074,,682da377.30fb5a,1,,2025-05-21 12:57:11 EEST,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,""
2025-05-21 12:57:12.048 EEST,,,3210076,,682da378.30fb5c,1,,2025-05-21 12:57:12 EEST,,0,LOG,00000,"database system was shut down at 2025-05-21 12:56:55 EEST",,,,,,,,,""
2025-05-21 12:57:12.064 EEST,,,3210074,,682da377.30fb5a,2,,2025-05-21 12:57:11 EEST,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,""
2025-05-21 12:57:25.372 EEST,"krl","postgres",3210192,"127.0.0.1:48754",682da385.30fbd0,1,"CREATE TABLE",2025-05-21 12:57:25 EEST,3/0,0,LOG,00000,"duration: 18.488 ms  statement: create unlogged table pgbench_history(tid int,bid int,aid    int,delta int,mtime timestamp,filler char(22))",,,,,,,,,"pgbench"
2025-05-21 12:57:25.381 EEST,"krl","postgres",3210192,"127.0.0.1:48754",682da385.30fbd0,2,"CREATE TABLE",2025-05-21 12:57:25 EEST,3/0,0,LOG,00000,"duration: 9.552 ms  statement: create unlogged table pgbench_tellers(tid int not null,bid int,tbalance int,filler char(84)) with (fillfactor=100)",,,,,,,,,"pgbench"
2025-05-21 12:57:25.391 EEST,"krl","postgres",3210192,"127.0.0.1:48754",682da385.30fbd0,3,"CREATE TABLE",2025-05-21 12:57:25 EEST,3/0,0,LOG,00000,"duration: 9.116 ms  statement: create unlogged table pgbench_accounts(aid    int not null,bid int,abalance int,filler char(84)) with (fillfactor=100)",,,,,,,,,"pgbench"
2025-05-21 12:57:25.400 EEST,"krl","postgres",3210192,"127.0.0.1:48754",682da385.30fbd0,4,"CREATE TABLE",2025-05-21 12:57:25 EEST,3/0,0,LOG,00000,"duration: 9.011 ms  statement: create unlogged table pgbench_branches(bid int not null,bbalance int,filler char(88)) with (fillfactor=100)",,,,,,,,,"pgbench"
2025-05-21 12:57:25.427 EEST,"krl","postgres",3210192,"127.0.0.1:48754",682da385.30fbd0,5,"TRUNCATE TABLE",2025-05-21 12:57:25 EEST,3/7,490,LOG,00000,"duration: 26.547 ms  statement: truncate table pgbench_accounts, pgbench_branches, pgbench_history, pgbench_tellers",,,,,,,,,"pgbench"
2025-05-21 12:57:25.434 EEST,"krl","postgres",3210192,"127.0.0.1:48754",682da385.30fbd0,6,"COPY",2025-05-21 12:57:25 EEST,3/7,490,LOG,00000,"duration: 6.319 ms  statement: copy pgbench_tellers from stdin",,,,,,,,,"pgbench"
2025-05-21 12:57:28.143 EEST,"krl","postgres",3210192,"127.0.0.1:48754",682da385.30fbd0,7,"COPY",2025-05-21 12:57:25 EEST,3/7,490,LOG,00000,"duration: 2709.123 ms  statement: copy pgbench_accounts from stdin",,,,,,,,,"pgbench"
2025-05-21 12:57:28.154 EEST,"krl","postgres",3210192,"127.0.0.1:48754",682da385.30fbd0,8,"COMMIT",2025-05-21 12:57:25 EEST,3/0,0,LOG,00000,"duration: 11.051 ms  statement: commit",,,,,,,,,"pgbench"
2025-05-21 12:57:36.353 EEST,"krl","postgres",3210280,"127.0.0.1:35604",682da38f.30fc28,1,"UPDATE",2025-05-21 12:57:35 EEST,3/12,491,LOG,00000,"duration: 913.948 ms  statement: UPDATE pgbench_accounts SET abalance = abalance + 464 WHERE aid = 1618699;",,,,,,,,,"pgbench"
2025-05-21 12:57:36.520 EEST,"krl","postgres",3210280,"127.0.0.1:35604",682da38f.30fc28,2,"SELECT",2025-05-21 12:57:35 EEST,3/12,491,LOG,00000,"duration: 167.395 ms  statement: SELECT abalance FROM pgbench_accounts WHERE aid = 1618699;",,,,,,,,,"pgbench"
2025-05-21 12:57:36.885 EEST,"krl","postgres",3210280,"127.0.0.1:35604",682da38f.30fc28,3,"UPDATE",2025-05-21 12:57:35 EEST,3/13,492,LOG,00000,"duration: 364.011 ms  statement: UPDATE pgbench_accounts SET abalance = abalance + 3075 WHERE aid = 4982207;",,,,,,,,,"pgbench"
2025-05-21 12:57:37.037 EEST,"krl","postgres",3210280,"127.0.0.1:35604",682da38f.30fc28,4,"SELECT",2025-05-21 12:57:35 EEST,3/13,492,LOG,00000,"duration: 152.290 ms  statement: SELECT abalance FROM pgbench_accounts WHERE aid = 4982207;",,,,,,,,,"pgbench"
2025-05-21 12:57:45.816 EEST,"krl","postgres",3210366,"127.0.0.1:46108",682da399.30fc7e,1,"SELECT",2025-05-21 12:57:45 EEST,3/20,0,ERROR,42703,"column ""sadasd"" does not exist",,,,,,"select sadasd",8,,"psql"
