2025-05-08 12:22:34.669 EEST,,,164907,,681c77da.2842b,1,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster",,0
2025-05-08 12:22:34.669 EEST,,,164907,,681c77da.2842b,2,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"starting PostgreSQL 17.4 (Ubuntu 17.4-1.pgdg24.04+2) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0, 64-bit",,,,,,,,,"","postmaster",,0
2025-05-08 12:22:34.669 EEST,,,164907,,681c77da.2842b,3,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"listening on IPv4 address ""127.0.0.1"", port 54317",,,,,,,,,"","postmaster",,0
2025-05-08 12:22:34.683 EEST,,,164907,,681c77da.2842b,4,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"listening on Unix socket ""/tmp/.s.PGSQL.54317""",,,,,,,,,"","postmaster",,0
2025-05-08 12:22:34.700 EEST,,,164911,,681c77da.2842f,1,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"database system was shut down at 2025-05-08 12:21:41 EEST",,,,,,,,,"","startup",,0
2025-05-08 12:22:34.716 EEST,,,164907,,681c77da.2842b,5,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster",,0
2025-05-08 12:24:37.731 EEST,"krl","postgres",166063,"127.0.0.1:33584",681c7855.288af,1,"INSERT",2025-05-08 12:24:37 EEST,3/2,770,ERROR,23503,"insert or update on table ""pgbench_accounts"" violates foreign key constraint ""pgbench_accounts_bid_fkey""","Key (bid)=(0) is not present in table ""pgbench_branches"".",,,,,"insert into pgbench_accounts select 0, 0, 0",,,"psql","client backend",,0
2025-05-08 12:24:48.809 EEST,,,164909,,681c77da.2842d,1,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"checkpoint starting: immediate force wait",,,,,,,,,"","checkpointer",,0
2025-05-08 12:24:48.934 EEST,,,164909,,681c77da.2842d,2,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"checkpoint complete: wrote 1764 buffers (10.8%); 0 WAL file(s) added, 0 removed, 1 recycled; write=0.029 s, sync=0.043 s, total=0.126 s; sync files=68, longest=0.008 s, average=0.001 s; distance=13095 kB, estimate=13095 kB; lsn=0/21B8688, redo lsn=0/21B8630",,,,,,,,,"","checkpointer",,0
2025-05-08 12:25:47.001 EEST,"krl","postgres",167408,"127.0.0.1:35470",681c789a.28df0,1,"idle",2025-05-08 12:25:46 EEST,5/2,0,LOG,00000,"statement: select count(*) from pgbench_branches",,,,,,,,,"pgbench","client backend",,0
2025-05-08 12:25:47.002 EEST,"krl","postgres",167408,"127.0.0.1:35470",681c789a.28df0,2,"idle",2025-05-08 12:25:46 EEST,5/3,0,LOG,00000,"statement: select o.n, p.partstrat, pg_catalog.count(i.inhparent) from pg_catalog.pg_class as c join pg_catalog.pg_namespace as n on (n.oid = c.relnamespace) cross join lateral (select pg_catalog.array_position(pg_catalog.current_schemas(true), n.nspname)) as o(n) left join pg_catalog.pg_partitioned_table as p on (p.partrelid = c.oid) left join pg_catalog.pg_inherits as i on (c.oid = i.inhparent) where c.relname = 'pgbench_accounts' and o.n is not null group by 1, 2 order by 1 asc limit 1",,,,,,,,,"pgbench","client backend",,0
2025-05-08 12:25:47.008 EEST,"krl","postgres",167409,"127.0.0.1:35482",681c789b.28df1,1,"BEGIN",2025-05-08 12:25:47 EEST,6/3,0,LOG,00000,"execute P_0: BEGIN;",,,,,,,,,"pgbench","client backend",,0
2025-05-08 12:25:47.009 EEST,"krl","postgres",167409,"127.0.0.1:35482",681c789b.28df1,2,"UPDATE",2025-05-08 12:25:47 EEST,6/3,0,LOG,00000,"execute P_1: UPDATE pgbench_accounts SET abalance = abalance + $1 WHERE aid = $2;","Parameters: $1 = '-2040', $2 = '93018'",,,,,,,,"pgbench","client backend",,0
2025-05-08 12:25:47.009 EEST,"krl","postgres",167409,"127.0.0.1:35482",681c789b.28df1,3,"SELECT",2025-05-08 12:25:47 EEST,6/3,771,LOG,00000,"execute P_2: SELECT abalance FROM pgbench_accounts WHERE aid = $1;","Parameters: $1 = '93018'",,,,,,,,"pgbench","client backend",,0
2025-05-08 12:25:47.009 EEST,"krl","postgres",167409,"127.0.0.1:35482",681c789b.28df1,4,"UPDATE",2025-05-08 12:25:47 EEST,6/3,771,LOG,00000,"execute P_3: UPDATE pgbench_tellers SET tbalance = tbalance + $1 WHERE tid = $2;","Parameters: $1 = '-2040', $2 = '6'",,,,,,,,"pgbench","client backend",,0
2025-05-08 12:25:47.010 EEST,"krl","postgres",167409,"127.0.0.1:35482",681c789b.28df1,5,"UPDATE",2025-05-08 12:25:47 EEST,6/3,771,LOG,00000,"execute P_4: UPDATE pgbench_branches SET bbalance = bbalance + $1 WHERE bid = $2;","Parameters: $1 = '-2040', $2 = '1'",,,,,,,,"pgbench","client backend",,0
2025-05-08 12:25:47.010 EEST,"krl","postgres",167409,"127.0.0.1:35482",681c789b.28df1,6,"INSERT",2025-05-08 12:25:47 EEST,6/3,771,LOG,00000,"execute P_5: INSERT INTO pgbench_history (tid, bid, aid, delta, mtime) VALUES ($1, $2, $3, $4, CURRENT_TIMESTAMP);","Parameters: $1 = '6', $2 = '1', $3 = '93018', $4 = '-2040'",,,,,,,,"pgbench","client backend",,0
2025-05-08 12:25:47.010 EEST,"krl","postgres",167409,"127.0.0.1:35482",681c789b.28df1,7,"COMMIT",2025-05-08 12:25:47 EEST,6/3,771,LOG,00000,"execute P_6: END;",,,,,,,,,"pgbench","client backend",,0
2025-05-08 12:29:49.034 EEST,,,164909,,681c77da.2842d,3,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"checkpoint starting: time",,,,,,,,,"","checkpointer",,0
2025-05-08 12:29:53.207 EEST,,,164909,,681c77da.2842d,4,,2025-05-08 12:22:34 EEST,,0,LOG,00000,"checkpoint complete: wrote 42 buffers (0.3%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.115 s, sync=0.022 s, total=4.174 s; sync files=14, longest=0.015 s, average=0.002 s; distance=173 kB, estimate=11803 kB; lsn=0/21E3CE0, redo lsn=0/21E3C50",,,,,,,,,"","checkpointer",,0
